,Player,Year,Tm,Age,Pos,G,GS,rating_adj_1,df_id,pro_bowl,first_all_pro
0,Ray Agnew,1999.0,STL,32,LDT,16.0,16.0,30.76978633935637,DL,0,0
1,Derrick Alexander,1999.0,CLE,26,RDE,16.0,16.0,59.245966318851416,DL,0,0
2,Chad Bratzke,1999.0,IND,28,RDE,16.0,16.0,126.03268680889032,DL,0,0
3,Junior Bryant,1999.0,SFO,28,RDT/LDE,16.0,16.0,125.64818135623447,DL,0,0
4,Rob Burnett,1999.0,BAL,32,LDE,16.0,16.0,149.99631269418202,DL,0,0
5,Kevin Carter,1999.0,STL,26,LDE,16.0,16.0,136.7408388791185,DL,0,0
6,Marco Coleman,1999.0,WAS,30,RDE,16.0,16.0,122.49102321526551,DL,0,0
7,John Copeland,1999.0,CIN,29,LDE,16.0,16.0,108.66562960795356,DL,0,0
8,Brad Culpepper,1999.0,TAM,30,LDT,16.0,16.0,90.73873104820467,DL,0,0
9,Phillip Daniels,1999.0,SEA,26,RDE,16.0,16.0,104.80058535667101,DL,0,0
10,Jerry Drake,1999.0,ARI,30,RDT,16.0,16.0,77.97152550664191,DL,0,0
11,Shane Dronett,1999.0,ATL,28,RDT,16.0,16.0,71.95695132549018,DL,0,0
12,Chad Eaton,1999.0,NWE,27,LDT,16.0,16.0,78.42848415823028,DL,0,0
13,D'Marco Farr,1999.0,STL,28,RDT,16.0,16.0,139.33467870871806,DL,0,0
14,Jason Fisk,1999.0,TEN,27,RDT,16.0,16.0,85.18202171920856,DL,0,0
15,Jim Flanigan,1999.0,CHI,28,LDT,16.0,16.0,102.84818138419654,DL,0,0
16,Oliver Gibson,1999.0,CIN,27,NT/RDT,16.0,16.0,58.01969072190984,DL,0,0
17,Sean Gilbert,1999.0,CAR,29,RDT,16.0,16.0,111.66856042664148,DL,0,0
18,La'Roi Glover,1999.0,NOR,25,RDT,16.0,16.0,106.85077864064839,DL,0,0
19,Keith Hamilton,1999.0,NYG,28,RDT,16.0,16.0,105.30060847639223,DL,0,0
20,James Harris,1999.0,OAK,31,LDE,16.0,16.0,89.33825992943208,DL,0,0
21,Chad Hennings,1999.0,DAL,34,RDT,16.0,16.0,117.14948594494453,DL,0,0
22,Eric Hicks,1999.0,KAN,23,LDE,16.0,16.0,62.5368743522978,DL,0,0
23,Vonnie Holliday,1999.0,GNB,24,RDE,16.0,16.0,138.1189032725253,DL,0,0
24,Greg Jefferson,1999.0,PHI,28,LDE,16.0,16.0,71.3713000503919,DL,0,0
25,Ellis Johnson,1999.0,IND,26,RDT,16.0,16.0,102.28377552315906,DL,0,0
26,Raylee Johnson,1999.0,SDG,29,RDE,16.0,16.0,63.73812256540141,DL,0,0
27,Lance Johnstone,1999.0,OAK,26,RDE,16.0,16.0,139.7948006419611,DL,0,0
28,Cedric Jones,1999.0,NYG,25,RDE,16.0,16.0,125.86775596462894,DL,0,0
29,James Jones,1999.0,DET,30,LDT,16.0,16.0,117.67520207655717,DL,0,0
30,Jevon Kearse,1999.0,TEN,23,LDE,16.0,16.0,158.25276375412065,DL,0,0
31,Cortez Kennedy,1999.0,SEA,31,RDT,16.0,16.0,153.75914784714243,DL,0,0
32,Rick Lyle,1999.0,NYJ,28,LDE,16.0,16.0,44.96989120038845,DL,0,0
33,Wayne Martin,1999.0,NOR,34,LDT,16.0,16.0,85.01835397483545,DL,0,0
34,Russell Maryland,1999.0,OAK,30,LDT,16.0,16.0,80.06514015807318,DL,0,0
35,Michael McCrary,1999.0,BAL,29,RDE,16.0,16.0,116.36163732886148,DL,0,0
36,Willie McGinest,1999.0,NWE,28,RDE,16.0,16.0,97.29268370655592,DL,0,0
37,Chester McGlockton,1999.0,KAN,30,LDT,16.0,16.0,99.14759599315242,DL,0,0
38,Brandon Mitchell,1999.0,NWE,24,LDE,16.0,16.0,64.6876157392203,DL,0,0
39,Tim Morabito,1999.0,CAR,26,LDT,16.0,16.0,29.105767917828466,DL,0,0
40,John Parrella,1999.0,SDG,30,RDT,16.0,16.0,102.5003109515863,DL,0,0
41,Seth Payne,1999.0,JAX,24,RDT,16.0,16.0,9.049104762426536,DL,0,0
42,Kavika Pittman,1999.0,DAL,25,LDE,16.0,16.0,85.6969342532792,DL,0,0
43,Anthony Pleasant,1999.0,NYJ,31,RDE,16.0,16.0,53.553075768854676,DL,0,0
44,John Randle,1999.0,MIN,32,LDE/RDT,16.0,16.0,112.36962538721068,DL,0,0
45,Simeon Rice,1999.0,ARI,25,RDE,16.0,16.0,119.62760604903163,DL,0,0
46,Bryan Robinson,1999.0,CHI,25,LDE,16.0,16.0,76.59883715074233,DL,0,0
47,Orpheus Roye,1999.0,PIT,26,LDE,16.0,16.0,126.29844796431473,DL,0,0
48,Darrell Russell,1999.0,OAK,23,RDT,16.0,16.0,106.17452120074958,DL,0,0
49,Brady Smith,1999.0,NOR,26,RDE,16.0,16.0,65.94100555447199,DL,0,0
50,Bruce Smith,1999.0,BUF,36,RDE,16.0,16.0,106.4645677470732,DL,0,0
51,Chuck Smith,1999.0,ATL,30,RDE,16.0,16.0,128.13469625837948,DL,0,0
52,Alonzo Spellman,1999.0,DAL,28,LDT,16.0,16.0,17.579646018389923,DL,0,0
53,Michael Strahan,1999.0,NYG,28,LDE,16.0,16.0,110.2794876883368,DL,0,0
54,Dana Stubblefield,1999.0,WAS,29,RDT,16.0,16.0,97.83387111264355,DL,0,0
